Serial Number:20268770 --

"Date Time, GMT -0500","Temp, (*C) - 1","Temp, (*C) - 2","Host Connect","EOF"
2017-12-09 09:24:21,18.74,18.49, , 
2017-12-09 09:44:21,13.98,12.65, , 
2017-12-09 10:04:21,9.18,-3.18, , 
2017-12-09 10:24:21,1.80,2.91, , 
2017-12-09 10:44:21,4.72,5.45, , 
2017-12-09 11:04:21,0.51,-1.12, , 
2017-12-09 11:24:21,13.55,15.74, , 
2017-12-09 11:44:21,4.63,4.54, , 
2017-12-09 12:04:21,3.34,0.30, , 
2017-12-09 12:24:21,3.60,0.81, , 
2017-12-09 12:44:21,3.73,1.16, , 
2017-12-09 13:04:21,3.77,1.33, , 
2017-12-09 13:24:21,3.82,1.41, , 
2017-12-09 13:44:21,3.86,1.46, , 
2017-12-09 14:04:21,3.82,1.58, , 
2017-12-09 14:24:21,3.90,1.58, , 
2017-12-09 14:44:21,3.86,1.63, , 
2017-12-09 15:04:21,3.90,1.63, , 
2017-12-09 15:24:21,3.90,1.67, , 
2017-12-09 15:44:21,3.86,1.67, , 
2017-12-09 16:04:21,3.90,1.67, , 
2017-12-09 16:24:21,3.90,1.71, , 
2017-12-09 16:44:21,3.90,1.76, , 
2017-12-09 17:04:21,3.90,1.71, , 
2017-12-09 17:24:21,3.90,1.76, , 
2017-12-09 17:44:21,3.94,1.71, , 
2017-12-09 18:04:21,3.90,1.71, , 
2017-12-09 18:24:21,3.90,1.76, , 
2017-12-09 18:44:21,3.90,1.76, , 
2017-12-09 19:04:21,3.90,1.76, , 
2017-12-09 19:24:21,3.90,1.80, , 
2017-12-09 19:44:21,3.94,1.76, , 
2017-12-09 20:04:21,3.94,1.76, , 
2017-12-09 20:24:21,3.94,1.71, , 
2017-12-09 20:44:21,3.90,1.76, , 
2017-12-09 21:04:21,3.90,1.80, , 
2017-12-09 21:24:21,3.94,1.80, , 
2017-12-09 21:44:21,3.90,1.76, , 
2017-12-09 22:04:21,3.94,1.80, , 
2017-12-09 22:24:21,3.90,1.80, , 
2017-12-09 22:44:21,3.94,1.80, , 
2017-12-09 23:04:21,3.94,1.80, , 
2017-12-09 23:24:21,3.94,1.80, , 
2017-12-09 23:44:21,3.90,1.76, , 
2017-12-10 00:04:21,3.90,1.84, , 
2017-12-10 00:24:21,3.90,1.80, , 
2017-12-10 00:44:21,3.94,1.80, , 
2017-12-10 01:04:21,3.90,1.84, , 
2017-12-10 01:24:21,3.90,1.76, , 
2017-12-10 01:44:21,3.94,1.80, , 
2017-12-10 02:04:21,3.90,1.80, , 
2017-12-10 02:24:21,3.90,1.80, , 
2017-12-10 02:44:21,3.90,1.80, , 
2017-12-10 03:04:21,3.90,1.80, , 
2017-12-10 03:24:21,3.94,1.80, , 
2017-12-10 03:44:21,3.90,1.80, , 
2017-12-10 04:04:21,3.90,1.80, , 
2017-12-10 04:24:21,3.90,1.80, , 
2017-12-10 04:44:21,3.90,1.80, , 
2017-12-10 05:04:21,3.90,1.80, , 
2017-12-10 05:24:21,3.90,1.84, , 
2017-12-10 05:44:21,3.94,1.84, , 
2017-12-10 06:04:21,3.94,1.80, , 
2017-12-10 06:24:21,3.94,1.80, , 
2017-12-10 06:44:21,3.90,1.80, , 
2017-12-10 07:04:21,3.90,1.80, , 
2017-12-10 07:24:21,3.90,1.80, , 
2017-12-10 07:44:21,3.94,1.76, , 
2017-12-10 08:04:21,3.90,1.84, , 
2017-12-10 08:24:21,3.90,1.84, , 
2017-12-10 08:44:21,3.90,1.80, , 
2017-12-10 09:04:21,3.90,1.84, , 
2017-12-10 09:24:21,3.86,1.80, , 
2017-12-10 09:44:21,3.94,1.84, , 
2017-12-10 10:04:21,3.94,1.84, , 
2017-12-10 10:24:21,3.90,1.80, , 
2017-12-10 10:44:21,3.90,1.80, , 
2017-12-10 11:04:21,3.90,1.80, , 
2017-12-10 11:24:21,3.94,1.80, , 
2017-12-10 11:44:21,3.90,1.84, , 
2017-12-10 12:04:21,3.94,1.84, , 
2017-12-10 12:24:21,3.90,1.76, , 
2017-12-10 12:44:21,3.86,1.80, , 
2017-12-10 13:04:21,3.86,1.80, , 
2017-12-10 13:24:21,3.90,1.84, , 
2017-12-10 13:44:21,3.90,1.80, , 
2017-12-10 14:04:21,3.90,1.84, , 
2017-12-10 14:24:21,3.90,1.84, , 
2017-12-10 14:44:21,3.90,1.84, , 
2017-12-10 15:04:21,3.90,1.80, , 
2017-12-10 15:24:21,3.90,1.80, , 
2017-12-10 15:44:21,3.90,1.80, , 
2017-12-10 16:04:21,3.90,1.80, , 
2017-12-10 16:24:21,3.86,1.84, , 
2017-12-10 16:44:21,3.90,1.80, , 
2017-12-10 17:04:21,3.86,1.80, , 
2017-12-10 17:24:21,3.90,1.80, , 
2017-12-10 17:44:21,3.94,1.80, , 
2017-12-10 18:04:21,3.90,1.76, , 
2017-12-10 18:24:21,3.90,1.80, , 
2017-12-10 18:44:21,3.86,1.84, , 
2017-12-10 19:04:21,3.90,1.80, , 
2017-12-10 19:24:21,3.86,1.84, , 
2017-12-10 19:44:21,3.86,1.84, , 
2017-12-10 20:04:21,3.86,1.80, , 
2017-12-10 20:24:21,3.90,1.80, , 
2017-12-10 20:44:21,3.90,1.84, , 
2017-12-10 21:04:21,3.90,1.84, , 
2017-12-10 21:24:21,3.90,1.84, , 
2017-12-10 21:44:21,3.86,1.80, , 
2017-12-10 22:04:21,3.86,1.80, , 
2017-12-10 22:24:21,3.86,1.80, , 
2017-12-10 22:44:21,3.90,1.80, , 
2017-12-10 23:04:21,3.86,1.84, , 
2017-12-10 23:24:21,3.90,1.84, , 
2017-12-10 23:44:21,3.90,1.80, , 
2017-12-11 00:04:21,3.90,1.84, , 
2017-12-11 00:24:21,3.90,1.84, , 
2017-12-11 00:44:21,3.86,1.80, , 
2017-12-11 01:04:21,3.90,1.80, , 
2017-12-11 01:24:21,3.90,1.80, , 
2017-12-11 01:44:21,3.90,1.80, , 
2017-12-11 02:04:21,3.82,1.80, , 
2017-12-11 02:24:21,3.90,1.84, , 
2017-12-11 02:44:21,3.90,1.84, , 
2017-12-11 03:04:21,3.90,1.80, , 
2017-12-11 03:24:21,3.86,1.84, , 
2017-12-11 03:44:21,3.90,1.76, , 
2017-12-11 04:04:21,3.90,1.76, , 
2017-12-11 04:24:21,3.90,1.80, , 
2017-12-11 04:44:21,3.86,1.80, , 
2017-12-11 05:04:21,3.86,1.80, , 
2017-12-11 05:24:21,3.86,1.80, , 
2017-12-11 05:44:21,3.86,1.80, , 
2017-12-11 06:04:21,3.86,1.84, , 
2017-12-11 06:24:21,3.82,1.80, , 
2017-12-11 06:44:21,3.86,1.76, , 
2017-12-11 07:04:21,3.86,1.80, , 
2017-12-11 07:24:21,3.94,1.80, , 
2017-12-11 07:44:21,3.86,1.80, , 
2017-12-11 08:04:21,3.86,1.80, , 
2017-12-11 08:24:21,3.82,1.80, , 
2017-12-11 08:44:21,3.86,1.80, , 
2017-12-11 09:04:21,3.82,1.84, , 
2017-12-11 09:24:21,3.86,1.80, , 
2017-12-11 09:44:21,3.86,1.84, , 
2017-12-11 10:04:21,3.86,1.80, , 
2017-12-11 10:24:21,3.86,1.80, , 
2017-12-11 10:44:21,3.86,1.80, , 
2017-12-11 11:04:21,3.82,1.76, , 
2017-12-11 11:24:21,3.86,1.80, , 
2017-12-11 11:44:21,3.86,1.80, , 
2017-12-11 12:04:21,3.82,1.80, , 
2017-12-11 12:24:21,3.86,1.80, , 
2017-12-11 12:44:21,3.82,1.80, , 
2017-12-11 13:04:21,3.90,1.80, , 
2017-12-11 13:24:21,3.86,1.80, , 
2017-12-11 13:44:21,3.86,1.80, , 
2017-12-11 14:04:21,3.86,1.84, , 
2017-12-11 14:24:21,3.86,1.76, , 
2017-12-11 14:44:21,3.82,1.80, , 
2017-12-11 15:04:21,3.86,1.80, , 
2017-12-11 15:24:21,3.86,1.80, , 
2017-12-11 15:44:21,3.82,1.80, , 
2017-12-11 16:04:21,3.82,1.84, , 
2017-12-11 16:24:21,3.82,1.76, , 
2017-12-11 16:44:21,3.86,1.80, , 
2017-12-11 17:04:21,3.86,1.80, , 
2017-12-11 17:24:21,3.86,1.71, , 
2017-12-11 17:44:21,3.86,1.80, , 
2017-12-11 18:04:21,3.82,1.80, , 
2017-12-11 18:24:21,3.82,1.80, , 
2017-12-11 18:44:21,3.86,1.80, , 
2017-12-11 19:04:21,3.86,1.76, , 
2017-12-11 19:24:21,3.82,1.80, , 
2017-12-11 19:44:21,3.86,1.80, , 
2017-12-11 20:04:21,3.82,1.80, , 
2017-12-11 20:24:21,3.82,1.76, , 
2017-12-11 20:44:21,3.86,1.84, , 
2017-12-11 21:04:21,3.77,1.80, , 
2017-12-11 21:24:21,3.82,1.80, , 
2017-12-11 21:44:21,3.82,1.80, , 
2017-12-11 22:04:21,3.82,1.80, , 
2017-12-11 22:24:21,3.86,1.76, , 
2017-12-11 22:44:21,3.86,1.80, , 
