Plot Title: 20103811,,,
#,"Date Time, GMT -0400","Temp, °C - 1","Temp, °C - 2"
1,2018-06-24 11:53:58,17.20,18.40
2,2018-06-24 11:58:58,16.90,18.27
3,2018-06-24 12:03:58,16.81,18.36
4,2018-06-24 12:08:58,17.29,19.13
5,2018-06-24 12:13:58,17.54,19.52
6,2018-06-24 12:18:58,17.89,19.43
7,2018-06-24 12:23:58,18.74,19.60
8,2018-06-24 12:28:58,20.07,21.58
9,2018-06-24 12:33:58,20.03,21.79
10,2018-06-24 12:38:58,19.39,22.73
11,2018-06-24 12:43:58,19.65,22.26
12,2018-06-24 12:48:58,18.70,22.13
13,2018-06-24 12:53:58,19.09,21.32
14,2018-06-24 12:58:58,19.05,21.40
15,2018-06-24 13:03:58,17.59,20.55
16,2018-06-24 13:08:58,19.05,21.53
17,2018-06-24 13:13:58,19.47,22.01
18,2018-06-24 13:18:58,18.66,20.37
19,2018-06-24 13:23:58,17.76,19.95
20,2018-06-24 13:28:58,18.14,19.86
21,2018-06-24 13:33:58,17.93,18.79
22,2018-06-24 13:38:58,20.07,18.79
23,2018-06-24 13:43:58,20.46,18.66
24,2018-06-24 13:48:58,22.86,20.55
25,2018-06-24 13:53:58,23.64,21.45
26,2018-06-24 13:58:58,25.01,22.05
27,2018-06-24 14:03:58,21.58,24.75
28,2018-06-24 14:08:58,23.59,0.08
29,2018-06-24 14:13:58,22.69,0.13
30,2018-06-24 14:18:58,27.02,0.13
31,2018-06-24 14:23:58,21.45,0.21
32,2018-06-24 14:28:58,18.66,0.13
33,2018-06-24 14:33:58,17.80,0.17
34,2018-06-24 14:38:58,17.72,0.25
35,2018-06-24 14:43:58,17.63,0.13
36,2018-06-24 14:48:58,17.59,0.13
37,2018-06-24 14:53:58,17.63,0.13
38,2018-06-24 14:58:58,17.59,0.08
39,2018-06-24 15:03:58,17.59,0.08
40,2018-06-24 15:08:58,17.54,0.04
41,2018-06-24 15:13:58,17.54,0.08
42,2018-06-24 15:18:58,17.50,0.08
43,2018-06-24 15:23:58,17.50,0.13
44,2018-06-24 15:28:58,17.46,0.08
45,2018-06-24 15:33:58,17.41,0.08
46,2018-06-24 15:38:58,17.46,0.08
47,2018-06-24 15:43:58,17.46,0.08
48,2018-06-24 15:48:58,17.37,0.08
49,2018-06-24 15:53:58,17.37,0.08
50,2018-06-24 15:58:58,17.37,0.08
51,2018-06-24 16:03:58,17.37,0.08
52,2018-06-24 16:08:58,17.37,0.04
53,2018-06-24 16:13:58,17.37,0.04
54,2018-06-24 16:18:58,17.41,0.04
55,2018-06-24 16:23:58,17.37,0.08
56,2018-06-24 16:28:58,17.33,0.13
57,2018-06-24 16:33:58,17.33,0.17
58,2018-06-24 16:38:58,17.33,0.13
59,2018-06-24 16:43:58,17.33,0.21
60,2018-06-24 16:48:58,17.33,0.21
61,2018-06-24 16:53:58,17.29,0.21
62,2018-06-24 16:58:58,17.29,0.17
63,2018-06-24 17:03:58,17.24,0.17
64,2018-06-24 17:08:58,17.29,0.21
65,2018-06-24 17:13:58,17.29,0.17
66,2018-06-24 17:18:58,17.24,0.25
67,2018-06-24 17:23:58,17.20,0.25
68,2018-06-24 17:28:58,17.20,0.25
69,2018-06-24 17:33:58,17.20,0.21
70,2018-06-24 17:38:58,17.16,0.17
71,2018-06-24 17:43:58,17.16,0.21
72,2018-06-24 17:48:58,17.16,0.21
