Serial Number:20146542 --

"Date Time, GMT -0400","Temp, (*C) - 1","Temp, (*C) - 2","Host Connect","EOF"
2018-04-21 15:13:35,0.55,0.86, , 
2018-04-21 15:33:35,0.60,0.86, , 
2018-04-21 15:53:35,0.55,0.86, , 
2018-04-21 16:13:35,0.55,0.90, , 
2018-04-21 16:33:35,0.55,0.86, , 
2018-04-21 16:53:35,0.60,0.86, , 
2018-04-21 17:13:35,0.55,0.86, , 
2018-04-21 17:33:35,0.55,0.86, , 
2018-04-21 17:53:35,0.55,0.86, , 
2018-04-21 18:13:35,0.55,0.90, , 
2018-04-21 18:33:35,0.55,0.86, , 
2018-04-21 18:53:35,0.60,0.81, , 
2018-04-21 19:13:35,0.51,0.86, , 
2018-04-21 19:33:35,0.55,0.90, , 
2018-04-21 19:53:35,0.55,0.86, , 
2018-04-21 20:13:35,0.55,0.94, , 
2018-04-21 20:33:35,0.55,0.86, , 
2018-04-21 20:53:35,0.60,0.90, , 
2018-04-21 21:13:35,0.55,0.90, , 
2018-04-21 21:33:35,0.55,0.90, , 
2018-04-21 21:53:35,0.60,0.90, , 
2018-04-21 22:13:35,0.60,0.86, , 
2018-04-21 22:33:35,0.60,0.90, , 
2018-04-21 22:53:35,0.60,0.90, , 
2018-04-21 23:13:35,0.60,0.90, , 
2018-04-21 23:33:35,0.60,0.90, , 
2018-04-21 23:53:35,0.60,0.90, , 
2018-04-22 00:13:35,0.55,0.90, , 
2018-04-22 00:33:35,0.60,0.86, , 
2018-04-22 00:53:35,0.55,0.86, , 
2018-04-22 01:13:35,0.60,0.90, , 
2018-04-22 01:33:35,0.60,0.90, , 
2018-04-22 01:53:35,0.60,0.90, , 
2018-04-22 02:13:35,0.60,0.90, , 
2018-04-22 02:33:35,0.60,0.90, , 
2018-04-22 02:53:35,0.60,0.86, , 
2018-04-22 03:13:35,0.60,0.86, , 
2018-04-22 03:33:35,0.60,0.90, , 
2018-04-22 03:53:35,0.64,0.94, , 
2018-04-22 04:13:35,0.60,0.86, , 
2018-04-22 04:33:35,0.60,0.90, , 
2018-04-22 04:53:35,0.64,0.90, , 
2018-04-22 05:13:35,0.55,0.86, , 
2018-04-22 05:33:35,0.64,0.94, , 
2018-04-22 05:53:35,0.60,0.94, , 
2018-04-22 06:13:35,0.60,0.90, , 
2018-04-22 06:33:35,0.60,0.94, , 
2018-04-22 06:53:35,0.64,0.90, , 
2018-04-22 07:13:35,0.60,0.94, , 
2018-04-22 07:33:35,0.64,0.86, , 
2018-04-22 07:53:35,0.60,0.90, , 
2018-04-22 08:13:35,0.64,0.90, , 
2018-04-22 08:33:35,0.64,0.90, , 
2018-04-22 08:53:35,0.60,0.94, , 
2018-04-22 09:13:35,0.55,0.90, , 
2018-04-22 09:33:35,0.60,0.94, , 
2018-04-22 09:53:35,0.60,0.94, , 
2018-04-22 10:13:35,0.60,0.90, , 
2018-04-22 10:33:35,0.64,0.94, , 
2018-04-22 10:53:35,0.60,0.94, , 
2018-04-22 11:13:35,0.60,0.94, , 
2018-04-22 11:33:35,0.64,0.94, , 
2018-04-22 11:53:35,0.64,0.90, , 
2018-04-22 12:13:35,0.64,0.90, , 
2018-04-22 12:33:35,0.64,0.90, , 
2018-04-22 12:53:35,0.64,0.90, , 
2018-04-22 13:13:35,0.64,0.90, , 
2018-04-22 13:33:35,0.64,0.94, , 
2018-04-22 13:53:35,0.64,0.90, , 
2018-04-22 14:13:35,0.60,0.90, , 
2018-04-22 14:33:35,0.60,0.94, , 
2018-04-22 14:53:35,0.60,0.90, , 
2018-04-22 15:13:35,0.60,0.94, , 
2018-04-22 15:33:35,0.60,0.94, , 
2018-04-22 15:53:35,0.60,0.90, , 
2018-04-22 16:13:35,0.60,0.86, , 
2018-04-22 16:33:35,0.60,0.90, , 
2018-04-22 16:53:35,0.64,0.98, , 
2018-04-22 17:13:35,0.60,0.90, , 
2018-04-22 17:33:35,0.64,0.90, , 
2018-04-22 17:53:35,0.60,0.90, , 
2018-04-22 18:13:35,0.60,0.90, , 
2018-04-22 18:33:35,0.64,0.90, , 
2018-04-22 18:53:35,0.60,0.94, , 
2018-04-22 19:13:35,0.60,0.94, , 
2018-04-22 19:33:35,0.64,0.94, , 
2018-04-22 19:53:35,0.64,0.90, , 
2018-04-22 20:13:35,0.64,0.94, , 
2018-04-22 20:33:35,0.64,0.98, , 
2018-04-22 20:53:35,0.60,0.94, , 
2018-04-22 21:13:35,0.60,0.94, , 
2018-04-22 21:33:35,0.64,0.90, , 
2018-04-22 21:53:35,0.68,0.94, , 
2018-04-22 22:13:35,0.64,0.94, , 
2018-04-22 22:33:35,0.64,0.94, , 
2018-04-22 22:53:35,0.64,0.94, , 
2018-04-22 23:13:35,0.64,0.98, , 
2018-04-22 23:33:35,0.64,0.90, , 
2018-04-22 23:53:35,0.64,0.98, , 
2018-04-23 00:13:35,0.64,0.98, , 
2018-04-23 00:33:35,0.68,0.98, , 
2018-04-23 00:53:35,0.64,0.98, , 
2018-04-23 01:13:35,0.64,0.98, , 
2018-04-23 01:33:35,0.64,0.94, , 
2018-04-23 01:53:35,0.64,0.98, , 
2018-04-23 02:13:35,0.68,0.98, , 
2018-04-23 02:33:35,0.64,0.98, , 
2018-04-23 02:53:35,0.64,0.94, , 
2018-04-23 03:13:35,0.68,0.98, , 
2018-04-23 03:33:35,0.64,0.94, , 
2018-04-23 03:53:35,0.68,0.98, , 
2018-04-23 04:13:35,0.64,0.98, , 
2018-04-23 04:33:35,0.68,0.98, , 
2018-04-23 04:53:35,0.64,1.03, , 
