Serial Number:20146542 --

"Date Time, GMT -0400","Temp, (*C) - 1","Temp, (*C) - 2","Host Connect","EOF"
2017-06-11 09:47:14,22.39,23.16, , 
2017-06-11 10:07:14,13.12,12.18, , 
2017-06-11 10:27:14,12.65,11.28, , 
2017-06-11 10:47:14,12.52,10.89, , 
2017-06-11 11:07:14,12.52,10.81, , 
2017-06-11 11:27:14,12.57,10.72, , 
2017-06-11 11:47:14,12.57,10.68, , 
2017-06-11 12:07:14,12.61,10.72, , 
2017-06-11 12:27:14,12.65,10.72, , 
2017-06-11 12:47:14,12.74,10.68, , 
2017-06-11 13:07:14,12.74,10.68, , 
2017-06-11 13:27:14,12.91,10.72, , 
2017-06-11 13:47:14,13.00,10.77, , 
2017-06-11 14:07:14,13.00,10.77, , 
2017-06-11 14:27:14,13.08,10.77, , 
2017-06-11 14:47:14,13.17,10.85, , 
2017-06-11 15:07:14,13.17,10.85, , 
2017-06-11 15:27:14,13.25,10.89, , 
2017-06-11 15:47:14,13.25,10.94, , 
2017-06-11 16:07:14,13.34,10.89, , 
2017-06-11 16:27:14,13.34,10.89, , 
2017-06-11 16:47:14,13.38,10.98, , 
2017-06-11 17:07:14,13.43,11.07, , 
2017-06-11 17:27:14,13.38,11.02, , 
2017-06-11 17:47:14,13.47,11.07, , 
2017-06-11 18:07:14,13.51,11.07, , 
2017-06-11 18:27:14,13.47,11.15, , 
2017-06-11 18:47:14,13.47,11.15, , 
2017-06-11 19:07:14,13.47,11.19, , 
2017-06-11 19:27:14,13.38,11.19, , 
2017-06-11 19:47:14,13.43,11.24, , 
2017-06-11 20:07:14,13.38,11.28, , 
2017-06-11 20:27:14,13.34,11.28, , 
2017-06-11 20:47:14,13.34,11.28, , 
2017-06-11 21:07:14,13.30,11.32, , 
2017-06-11 21:27:14,13.25,11.32, , 
2017-06-11 21:47:14,13.17,11.37, , 
2017-06-11 22:07:14,13.17,11.37, , 
2017-06-11 22:27:14,13.08,11.37, , 
2017-06-11 22:47:14,13.04,11.37, , 
2017-06-11 23:07:14,13.04,11.41, , 
2017-06-11 23:27:14,13.04,11.41, , 
2017-06-11 23:47:14,13.00,11.41, , 
2017-06-12 00:07:14,12.91,11.41, , 
2017-06-12 00:27:14,12.95,11.37, , 
2017-06-12 00:47:14,12.91,11.41, , 
2017-06-12 01:07:14,12.91,11.41, , 
2017-06-12 01:27:14,12.87,11.41, , 
2017-06-12 01:47:14,12.82,11.45, , 
2017-06-12 02:07:14,12.82,11.32, , 
2017-06-12 02:27:14,12.82,11.41, , 
2017-06-12 02:47:14,12.74,11.41, , 
2017-06-12 03:07:14,12.74,11.41, , 
2017-06-12 03:27:14,12.65,11.41, , 
2017-06-12 03:47:14,12.65,11.41, , 
2017-06-12 04:07:14,12.65,11.41, , 
2017-06-12 04:27:14,12.61,11.41, , 
2017-06-12 04:47:14,12.57,11.37, , 
2017-06-12 05:07:14,12.57,11.41, , 
2017-06-12 05:27:14,12.52,11.37, , 
2017-06-12 05:47:14,12.48,11.37, , 
2017-06-12 06:07:14,12.52,11.41, , 
2017-06-12 06:27:14,12.48,11.32, , 
2017-06-12 06:47:14,12.48,11.37, , 
2017-06-12 07:07:14,12.48,11.37, , 
2017-06-12 07:27:14,12.44,11.41, , 
2017-06-12 07:47:14,12.52,11.37, , 
2017-06-12 08:07:14,12.61,11.37, , 
2017-06-12 08:27:14,12.61,11.37, , 
2017-06-12 08:47:14,12.70,11.37, , 
2017-06-12 09:07:14,12.78,11.37, , 
2017-06-12 09:27:14,12.87,11.41, , 
2017-06-12 09:47:14,12.91,11.37, , 
2017-06-12 10:07:14,13.04,11.37, , 
2017-06-12 10:27:14,13.12,11.37, , 
2017-06-12 10:47:14,13.25,11.37, , 
2017-06-12 11:07:14,13.30,11.41, , 
2017-06-12 11:27:14,13.38,11.45, , 
2017-06-12 11:47:14,13.51,11.49, , 
2017-06-12 12:07:14,13.55,11.45, , 
