Serial Number:20146543 --

"Date Time, GMT -0400","Temp, (*C) - 1","Temp, (*C) - 2","Host Connect","EOF"
2017-06-11 09:23:33,23.98,23.94, , 
2017-06-11 09:43:33,10.21,8.66, , 
2017-06-11 10:03:33,9.99,8.58, , 
2017-06-11 10:21:51, , ,Logged, 
2017-06-11 10:23:33,9.95,8.53, , 
2017-06-11 10:43:33,9.86,8.45, , 
2017-06-11 11:03:33,9.86,8.45, , 
2017-06-11 11:23:33,9.86,8.49, , 
2017-06-11 11:43:33,9.82,8.49, , 
2017-06-11 12:03:33,9.82,8.49, , 
2017-06-11 12:23:33,9.82,8.49, , 
2017-06-11 12:43:33,9.86,8.45, , 
2017-06-11 13:03:33,9.86,8.49, , 
2017-06-11 13:23:33,9.86,8.45, , 
2017-06-11 13:43:33,9.86,8.45, , 
2017-06-11 14:03:33,9.82,8.49, , 
2017-06-11 14:23:33,9.82,8.45, , 
2017-06-11 14:43:33,9.82,8.49, , 
2017-06-11 15:03:33,9.86,8.53, , 
2017-06-11 15:23:33,9.91,8.49, , 
2017-06-11 15:43:33,9.86,8.49, , 
2017-06-11 16:03:33,9.86,8.49, , 
2017-06-11 16:23:33,9.86,8.45, , 
2017-06-11 16:43:33,9.86,8.49, , 
2017-06-11 17:03:33,9.86,8.49, , 
2017-06-11 17:23:33,9.86,8.49, , 
2017-06-11 17:43:33,9.86,8.49, , 
2017-06-11 18:03:33,9.91,8.49, , 
2017-06-11 18:23:33,9.86,8.45, , 
2017-06-11 18:43:33,9.91,8.45, , 
2017-06-11 19:03:33,9.91,8.49, , 
2017-06-11 19:23:33,9.86,8.49, , 
2017-06-11 19:43:33,9.91,8.49, , 
2017-06-11 20:03:33,9.91,8.53, , 
2017-06-11 20:23:33,9.95,8.49, , 
2017-06-11 20:43:33,9.95,8.49, , 
2017-06-11 21:03:33,9.86,8.49, , 
2017-06-11 21:23:33,9.95,8.53, , 
2017-06-11 21:43:33,9.95,8.49, , 
2017-06-11 22:03:33,9.95,8.49, , 
2017-06-11 22:23:33,9.91,8.49, , 
2017-06-11 22:43:33,9.99,8.53, , 
2017-06-11 23:03:33,9.99,8.53, , 
2017-06-11 23:23:33,9.99,8.49, , 
2017-06-11 23:43:33,9.95,8.49, , 
2017-06-12 00:03:33,9.95,8.53, , 
2017-06-12 00:23:33,9.99,8.53, , 
2017-06-12 00:43:33,9.99,8.49, , 
2017-06-12 01:03:33,9.99,8.58, , 
2017-06-12 01:23:33,9.99,8.53, , 
2017-06-12 01:43:33,9.99,8.53, , 
2017-06-12 02:03:33,10.04,8.53, , 
2017-06-12 02:23:33,9.99,8.49, , 
2017-06-12 02:43:33,9.99,8.58, , 
2017-06-12 03:03:33,10.04,8.49, , 
2017-06-12 03:23:33,10.04,8.53, , 
2017-06-12 03:43:33,10.04,8.53, , 
2017-06-12 04:03:33,10.08,8.49, , 
2017-06-12 04:23:33,10.04,8.58, , 
2017-06-12 04:43:33,10.08,8.53, , 
2017-06-12 05:03:33,10.04,8.58, , 
2017-06-12 05:23:33,10.08,8.53, , 
2017-06-12 05:43:33,10.12,8.58, , 
2017-06-12 06:03:33,10.12,8.53, , 
2017-06-12 06:23:33,10.12,8.58, , 
2017-06-12 06:43:33,10.16,8.49, , 
2017-06-12 07:03:33,10.08,8.53, , 
2017-06-12 07:23:33,10.16,8.53, , 
2017-06-12 07:43:33,10.12,8.53, , 
2017-06-12 08:03:33,10.12,8.53, , 
2017-06-12 08:23:33,10.16,8.53, , 
2017-06-12 08:43:33,10.12,8.58, , 
2017-06-12 09:03:33,10.12,8.58, , 
2017-06-12 09:23:33,10.16,8.58, , 
2017-06-12 09:43:33,10.16,8.58, , 
2017-06-12 10:03:33,10.16,8.58, , 
2017-06-12 10:23:33,10.16,8.53, , 
2017-06-12 10:43:33,10.21,8.58, , 
2017-06-12 11:03:33,10.21,8.58, , 
2017-06-12 11:23:33,10.16,8.58, , 
2017-06-12 11:43:33,10.21,8.58, , 
2017-06-12 12:03:33,10.25,8.62, , 
2017-06-12 12:23:33,10.25,8.62, , 
2017-06-12 12:43:33,10.21,8.58, , 
2017-06-12 13:03:33,10.25,8.58, , 
2017-06-12 13:23:33,10.25,8.58, , 
2017-06-12 13:43:33,10.25,8.62, , 
2017-06-12 14:03:33,10.25,8.62, , 
2017-06-12 14:23:33,10.29,8.62, , 
2017-06-12 14:43:33,10.25,8.58, , 
2017-06-12 15:03:33,10.25,8.58, , 
2017-06-12 15:23:33,10.29,8.62, , 
2017-06-12 15:43:33,10.25,8.62, , 
2017-06-12 16:03:33,10.29,8.62, , 
2017-06-12 16:23:33,10.29,8.62, , 
2017-06-12 16:43:33,10.29,8.66, , 
2017-06-12 17:03:33,10.29,8.62, , 
2017-06-12 17:23:33,10.29,8.62, , 
2017-06-12 17:43:33,10.34,8.66, , 
2017-06-12 18:03:33,10.25,8.62, , 
2017-06-12 18:23:33,10.29,8.62, , 
2017-06-12 18:43:33,10.34,8.62, , 
