Plot Title: 20366929,,,
#,"Date Time, GMT -0400","Temp, °C - 1","Temp, °C - 2"
1,2018-06-24 11:54:41,18.87,18.06
2,2018-06-24 11:59:41,19.99,17.37
3,2018-06-24 12:04:41,19.95,17.80
4,2018-06-24 12:09:41,20.63,17.80
5,2018-06-24 12:14:41,21.02,18.74
6,2018-06-24 12:19:41,20.93,18.57
7,2018-06-24 12:24:41,21.06,19.05
8,2018-06-24 12:29:41,22.95,20.25
9,2018-06-24 12:34:41,22.26,20.12
10,2018-06-24 12:39:41,23.64,21.10
11,2018-06-24 12:44:41,23.29,20.16
12,2018-06-24 12:49:41,23.64,20.03
13,2018-06-24 12:54:41,23.21,20.12
14,2018-06-24 12:59:41,22.78,19.77
15,2018-06-24 13:04:41,22.01,18.02
16,2018-06-24 13:09:41,22.69,19.82
17,2018-06-24 13:14:41,23.21,20.76
18,2018-06-24 13:19:41,21.15,18.83
19,2018-06-24 13:24:41,21.28,18.57
20,2018-06-24 13:29:41,20.46,18.40
21,2018-06-24 13:34:41,21.10,19.22
22,2018-06-24 13:39:41,20.72,20.25
23,2018-06-24 13:44:41,20.29,19.56
24,2018-06-24 13:49:41,21.10,21.88
25,2018-06-24 13:54:41,21.53,22.82
26,2018-06-24 13:59:41,21.28,22.09
27,2018-06-24 14:04:41,24.06,23.29
28,2018-06-24 14:09:41,12.18,18.62
29,2018-06-24 14:14:41,2.83,23.72
30,2018-06-24 14:19:41,4.24,23.89
31,2018-06-24 14:24:41,4.07,19.99
32,2018-06-24 14:29:41,4.93,22.13
33,2018-06-24 14:34:41,5.53,22.95
34,2018-06-24 14:39:41,5.53,21.23
35,2018-06-24 14:44:41,5.23,20.29
36,2018-06-24 14:49:41,5.02,19.69
37,2018-06-24 14:54:41,4.93,19.13
38,2018-06-24 14:59:41,4.80,18.70
39,2018-06-24 15:04:41,4.67,18.36
40,2018-06-24 15:09:41,4.54,17.97
41,2018-06-24 15:14:41,4.42,17.67
42,2018-06-24 15:19:41,4.33,17.33
43,2018-06-24 15:24:41,4.24,17.03
44,2018-06-24 15:29:41,4.20,16.73
45,2018-06-24 15:34:41,4.03,16.47
46,2018-06-24 15:39:41,3.99,16.21
47,2018-06-24 15:44:41,3.90,16.04
48,2018-06-24 15:49:41,3.86,15.74
49,2018-06-24 15:54:41,3.77,15.57
50,2018-06-24 15:59:41,3.77,15.27
51,2018-06-24 16:04:41,3.69,15.18
52,2018-06-24 16:09:41,3.64,14.88
53,2018-06-24 16:14:41,3.64,14.67
54,2018-06-24 16:19:41,3.52,14.41
55,2018-06-24 16:24:41,3.47,14.20
56,2018-06-24 16:29:41,3.43,14.07
57,2018-06-24 16:34:41,3.34,13.90
58,2018-06-24 16:39:41,3.26,13.64
59,2018-06-24 16:44:41,3.26,13.43
60,2018-06-24 16:49:41,3.21,13.25
61,2018-06-24 16:54:41,3.13,13.04
62,2018-06-24 16:59:41,3.09,12.87
63,2018-06-24 17:04:41,3.04,12.65
64,2018-06-24 17:09:41,2.91,12.48
65,2018-06-24 17:14:41,2.91,12.31
66,2018-06-24 17:19:41,2.87,12.10
67,2018-06-24 17:24:41,2.79,11.88
68,2018-06-24 17:29:41,2.74,11.71
69,2018-06-24 17:34:41,2.70,11.54
70,2018-06-24 17:39:41,2.66,11.32
71,2018-06-24 17:44:41,2.57,11.11
72,2018-06-24 17:49:41,2.53,11.02
73,2018-06-24 17:54:41,2.49,10.85
74,2018-06-24 17:59:41,2.40,10.68
75,2018-06-24 18:04:41,2.40,10.51
76,2018-06-24 18:09:41,2.36,10.42
77,2018-06-24 18:14:41,2.31,10.25
78,2018-06-24 18:19:41,2.31,10.12
79,2018-06-24 18:24:41,2.27,10.04
80,2018-06-24 18:29:41,2.23,9.91
81,2018-06-24 18:34:41,2.14,9.78
82,2018-06-24 18:39:41,2.19,9.74
83,2018-06-24 18:44:41,2.10,9.56
84,2018-06-24 18:49:41,2.10,9.44
85,2018-06-24 18:54:41,2.10,9.35
86,2018-06-24 18:59:41,2.06,9.22
87,2018-06-24 19:04:41,2.06,9.18
88,2018-06-24 19:09:41,2.01,9.05
89,2018-06-24 19:14:41,2.01,8.96
90,2018-06-24 19:19:41,1.93,8.92
91,2018-06-24 19:24:41,1.97,8.83
92,2018-06-24 19:29:41,1.93,8.71
93,2018-06-24 19:34:41,1.88,8.66
94,2018-06-24 19:39:41,1.88,8.53
95,2018-06-24 19:44:41,1.84,8.49
96,2018-06-24 19:49:41,1.80,8.41
97,2018-06-24 19:54:41,1.84,8.36
98,2018-06-24 19:59:41,1.80,8.28
99,2018-06-24 20:04:41,1.80,8.15
100,2018-06-24 20:09:41,1.76,8.11
101,2018-06-24 20:14:41,1.76,8.02
102,2018-06-24 20:19:41,1.71,7.93
103,2018-06-24 20:24:41,1.71,7.93
104,2018-06-24 20:29:41,1.67,7.85
105,2018-06-24 20:34:41,1.67,7.76
106,2018-06-24 20:39:41,1.63,7.72
107,2018-06-24 20:44:41,1.67,7.59
108,2018-06-24 20:49:41,1.58,7.55
109,2018-06-24 20:54:41,1.58,7.46
110,2018-06-24 20:59:41,1.63,7.46
111,2018-06-24 21:04:41,1.58,7.33
112,2018-06-24 21:09:41,1.58,7.25
113,2018-06-24 21:14:41,1.54,7.20
114,2018-06-24 21:19:41,1.54,7.12
115,2018-06-24 21:24:41,1.54,7.08
116,2018-06-24 21:29:41,1.54,7.03
117,2018-06-24 21:34:41,1.50,6.99
118,2018-06-24 21:39:41,1.50,6.99
119,2018-06-24 21:44:41,1.46,6.90
120,2018-06-24 21:49:41,1.46,6.82
121,2018-06-24 21:54:41,1.46,6.82
122,2018-06-24 21:59:41,1.46,6.82
123,2018-06-24 22:04:41,1.46,6.78
124,2018-06-24 22:09:41,1.41,6.69
125,2018-06-24 22:14:41,1.37,6.65
126,2018-06-24 22:19:41,1.41,6.65
127,2018-06-24 22:24:41,1.37,6.60
128,2018-06-24 22:29:41,1.41,6.65
129,2018-06-24 22:34:41,1.41,6.56
130,2018-06-24 22:39:41,1.37,6.56
131,2018-06-24 22:44:41,1.41,6.56
132,2018-06-24 22:49:41,1.37,6.52
133,2018-06-24 22:54:41,1.37,6.48
134,2018-06-24 22:59:41,1.37,6.48
135,2018-06-24 23:04:41,1.33,6.39
136,2018-06-24 23:09:41,1.37,6.39
137,2018-06-24 23:14:41,1.33,6.39
138,2018-06-24 23:19:41,1.33,6.35
139,2018-06-24 23:24:41,1.37,6.39
140,2018-06-24 23:29:41,1.37,6.35
141,2018-06-24 23:34:41,1.37,6.30
142,2018-06-24 23:39:41,1.33,6.30
143,2018-06-24 23:44:41,1.37,6.30
144,2018-06-24 23:49:41,1.33,6.22
145,2018-06-24 23:54:41,1.33,6.22
146,2018-06-24 23:59:41,1.33,6.22
147,2018-06-25 0:04:41,1.33,6.17
148,2018-06-25 0:09:41,1.37,6.17
149,2018-06-25 0:14:41,1.33,6.09
150,2018-06-25 0:19:41,1.33,6.13
151,2018-06-25 0:24:41,1.33,6.09
152,2018-06-25 0:29:41,1.33,6.13
153,2018-06-25 0:34:41,1.33,6.09
154,2018-06-25 0:39:41,1.28,6.05
155,2018-06-25 0:44:41,1.28,6.05
156,2018-06-25 0:49:41,1.28,6.00
157,2018-06-25 0:54:41,1.33,5.96
158,2018-06-25 0:59:41,1.33,5.96
159,2018-06-25 1:04:41,1.28,5.96
160,2018-06-25 1:09:41,1.28,5.96
161,2018-06-25 1:14:41,1.33,5.87
162,2018-06-25 1:19:41,1.28,5.83
163,2018-06-25 1:24:41,1.28,5.87
164,2018-06-25 1:29:41,1.28,5.83
165,2018-06-25 1:34:41,1.24,5.83
166,2018-06-25 1:39:41,1.24,5.83
167,2018-06-25 1:44:41,1.24,5.75
168,2018-06-25 1:49:41,1.24,5.70
169,2018-06-25 1:54:41,1.24,5.75
170,2018-06-25 1:59:41,1.24,5.70
171,2018-06-25 2:04:41,1.24,5.70
172,2018-06-25 2:09:41,1.24,5.70
173,2018-06-25 2:14:41,1.24,5.66
174,2018-06-25 2:19:41,1.20,5.70
175,2018-06-25 2:24:41,1.24,5.62
176,2018-06-25 2:29:41,1.20,5.57
177,2018-06-25 2:34:41,1.20,5.53
178,2018-06-25 2:39:41,1.24,5.57
179,2018-06-25 2:44:41,1.20,5.57
180,2018-06-25 2:49:41,1.20,5.57
181,2018-06-25 2:54:41,1.20,5.53
182,2018-06-25 2:59:41,1.20,5.45
183,2018-06-25 3:04:41,1.20,5.45
184,2018-06-25 3:09:41,1.20,5.45
185,2018-06-25 3:14:41,1.20,5.45
186,2018-06-25 3:19:41,1.16,5.36
187,2018-06-25 3:24:41,1.16,5.32
188,2018-06-25 3:29:41,1.16,5.27
189,2018-06-25 3:34:41,1.16,5.27
190,2018-06-25 3:39:41,1.16,5.27
191,2018-06-25 3:44:41,1.11,5.19
192,2018-06-25 3:49:41,1.16,5.23
193,2018-06-25 3:54:41,1.16,5.23
194,2018-06-25 3:59:41,1.11,5.19
195,2018-06-25 4:04:41,1.11,5.10
196,2018-06-25 4:09:41,1.11,5.06
197,2018-06-25 4:14:41,1.07,5.06
198,2018-06-25 4:19:41,1.11,4.97
199,2018-06-25 4:24:41,1.11,4.97
200,2018-06-25 4:29:41,1.07,4.93
201,2018-06-25 4:34:41,1.03,4.93
202,2018-06-25 4:39:41,1.11,4.89
203,2018-06-25 4:44:41,1.07,4.84
204,2018-06-25 4:49:41,1.03,4.84
205,2018-06-25 4:54:41,1.07,4.80
206,2018-06-25 4:59:41,0.98,4.72
207,2018-06-25 5:04:41,1.03,4.72
208,2018-06-25 5:09:41,1.03,4.72
209,2018-06-25 5:14:41,0.98,4.67
210,2018-06-25 5:19:41,0.98,4.63
211,2018-06-25 5:24:41,0.98,4.63
212,2018-06-25 5:29:41,0.98,4.63
