Plot Title: 20366930,,chips air,mylar snow foam
#,"Date Time, GMT -0400","Temp, °C - 1","Temp, °C - 2"
1,2018-06-10 15:52:46,21.53,3.73
2,2018-06-10 15:53:46,21.58,3.60
3,2018-06-10 15:54:46,21.40,3.39
4,2018-06-10 15:55:46,21.45,3.26
5,2018-06-10 15:56:46,21.53,3.17
6,2018-06-10 15:57:46,21.70,3.09
7,2018-06-10 15:58:46,21.53,2.96
8,2018-06-10 15:59:46,21.15,2.91
9,2018-06-10 16:00:46,21.19,2.83
10,2018-06-10 16:01:46,19.69,2.74
11,2018-06-10 16:02:46,19.26,2.83
12,2018-06-10 16:03:46,19.09,2.79
13,2018-06-10 16:04:46,19.95,2.66
14,2018-06-10 16:05:46,19.60,2.61
15,2018-06-10 16:06:46,19.39,2.57
16,2018-06-10 16:07:46,19.56,2.49
17,2018-06-10 16:08:46,19.86,2.44
18,2018-06-10 16:09:46,20.29,2.40
19,2018-06-10 16:10:46,20.37,2.36
20,2018-06-10 16:11:46,20.50,2.31
21,2018-06-10 16:12:46,20.07,2.31
22,2018-06-10 16:13:46,20.33,2.31
23,2018-06-10 16:14:46,20.33,2.27
24,2018-06-10 16:15:46,19.95,2.31
25,2018-06-10 16:16:46,20.03,2.31
26,2018-06-10 16:17:46,19.77,2.31
27,2018-06-10 16:18:46,19.39,2.31
28,2018-06-10 16:19:46,19.56,2.36
29,2018-06-10 16:20:46,19.65,2.36
30,2018-06-10 16:21:46,19.86,2.31
31,2018-06-10 16:22:46,19.60,2.19
32,2018-06-10 16:23:46,19.65,2.23
33,2018-06-10 16:24:46,19.60,2.19
34,2018-06-10 16:25:46,19.77,2.19
35,2018-06-10 16:26:46,19.56,2.19
36,2018-06-10 16:27:46,19.43,2.10
37,2018-06-10 16:28:46,19.13,2.06
38,2018-06-10 16:29:46,19.05,2.06
39,2018-06-10 16:30:46,18.87,1.97
40,2018-06-10 16:31:46,18.53,2.06
41,2018-06-10 16:32:46,18.74,1.97
42,2018-06-10 16:33:46,19.86,1.97
43,2018-06-10 16:34:46,19.30,1.93
