Plot Title: 20366934,,foam between,foam air
#,"Date Time, GMT -0400","Temp, °C - 1","Temp, °C - 2"
1,2018-06-10 15:53:29,30.46,28.87
2,2018-06-10 15:54:29,30.41,28.23
3,2018-06-10 15:55:29,30.41,27.45
4,2018-06-10 15:56:29,30.37,25.01
5,2018-06-10 15:57:29,30.37,25.35
6,2018-06-10 15:58:29,30.33,25.61
7,2018-06-10 15:59:29,30.33,24.71
8,2018-06-10 16:00:29,30.28,26.21
9,2018-06-10 16:01:29,30.33,24.28
10,2018-06-10 16:02:29,30.24,22.73
11,2018-06-10 16:03:29,30.16,22.26
12,2018-06-10 16:04:29,30.07,22.05
13,2018-06-10 16:05:29,29.94,22.31
14,2018-06-10 16:06:29,29.77,21.40
15,2018-06-10 16:07:29,29.68,21.62
16,2018-06-10 16:08:29,29.47,23.08
17,2018-06-10 16:09:29,29.26,24.32
18,2018-06-10 16:10:29,29.04,25.57
19,2018-06-10 16:11:29,28.83,27.41
20,2018-06-10 16:12:29,28.61,27.97
21,2018-06-10 16:13:29,28.40,28.23
22,2018-06-10 16:14:29,28.23,28.91
23,2018-06-10 16:15:29,28.05,27.80
24,2018-06-10 16:16:29,27.88,27.41
25,2018-06-10 16:17:29,27.75,26.04
26,2018-06-10 16:18:29,27.63,24.28
27,2018-06-10 16:19:29,27.54,24.28
28,2018-06-10 16:20:29,27.45,24.49
29,2018-06-10 16:21:29,27.28,24.79
30,2018-06-10 16:22:29,27.20,24.62
31,2018-06-10 16:23:29,27.07,23.94
32,2018-06-10 16:24:29,26.94,23.38
33,2018-06-10 16:25:29,26.81,23.29
34,2018-06-10 16:26:29,26.64,23.42
35,2018-06-10 16:27:29,26.51,23.42
36,2018-06-10 16:28:29,26.34,23.08
37,2018-06-10 16:29:29,26.12,23.12
38,2018-06-10 16:30:29,25.95,22.52
39,2018-06-10 16:31:29,25.74,21.79
40,2018-06-10 16:32:29,25.57,21.58
41,2018-06-10 16:33:29,25.35,22.18
42,2018-06-10 16:34:29,25.14,22.91
43,2018-06-10 16:35:29,24.88,23.72
44,2018-06-10 16:36:29,24.66,25.61
45,2018-06-10 16:37:29,24.45,26.42
46,2018-06-10 16:38:29,24.28,27.93
47,2018-06-10 16:39:29,24.11,29.13
48,2018-06-10 16:40:29,23.89,30.03
49,2018-06-10 16:41:29,23.76,28.78
50,2018-06-10 16:42:29,23.59,27.67
51,2018-06-10 16:43:29,23.51,27.71
52,2018-06-10 16:44:29,23.46,28.01
53,2018-06-10 16:45:29,23.38,27.97
54,2018-06-10 16:46:29,23.38,29.47
55,2018-06-10 16:47:29,23.34,30.46
56,2018-06-10 16:48:29,23.29,30.03
57,2018-06-10 16:49:29,23.29,29.81
58,2018-06-10 16:50:29,23.29,30.16
59,2018-06-10 16:51:29,23.29,30.84
60,2018-06-10 16:52:29,23.38,30.76
61,2018-06-10 16:53:29,23.38,30.54
62,2018-06-10 16:54:29,23.38,29.56
63,2018-06-10 16:55:29,23.42,29.43
64,2018-06-10 16:56:29,23.51,29.26
65,2018-06-10 16:57:29,23.55,29.17
66,2018-06-10 16:58:29,23.55,29.26
67,2018-06-10 16:59:29,23.59,27.41
68,2018-06-10 17:00:29,23.64,27.41
69,2018-06-10 17:01:29,23.64,29.00
