Plot Title: 20366934,,,
#,"Date Time, GMT -0400","Temp, °C - 1","Temp, °C - 2"
1,2018-06-24 11:53:16,17.46,17.20
2,2018-06-24 11:58:16,17.54,17.41
3,2018-06-24 12:03:16,17.67,16.86
4,2018-06-24 12:08:16,18.19,17.50
5,2018-06-24 12:13:16,18.79,17.54
6,2018-06-24 12:18:16,18.36,17.80
7,2018-06-24 12:23:16,18.32,17.67
8,2018-06-24 12:28:16,20.03,19.35
9,2018-06-24 12:33:16,19.77,18.53
10,2018-06-24 12:38:16,19.95,18.74
11,2018-06-24 12:43:16,19.73,18.92
12,2018-06-24 12:48:16,20.46,18.66
13,2018-06-24 12:53:16,19.86,19.05
14,2018-06-24 12:58:16,19.52,18.32
15,2018-06-24 13:03:16,19.17,17.84
16,2018-06-24 13:08:16,19.43,18.62
17,2018-06-24 13:13:16,19.82,19.22
18,2018-06-24 13:18:16,19.09,18.32
19,2018-06-24 13:23:16,18.53,17.67
20,2018-06-24 13:28:16,18.62,17.84
21,2018-06-24 13:33:16,18.83,18.06
22,2018-06-24 13:38:16,20.12,20.59
23,2018-06-24 13:43:16,20.03,20.98
24,2018-06-24 13:48:16,22.99,22.39
25,2018-06-24 13:53:16,23.51,23.81
26,2018-06-24 13:58:16,24.45,24.97
27,2018-06-24 14:03:16,22.35,22.91
28,2018-06-24 14:08:16,21.53,23.72
29,2018-06-24 14:13:16,25.14,23.16
30,2018-06-24 14:18:16,23.94,22.78
31,2018-06-24 14:23:16,20.16,21.45
32,2018-06-24 14:28:16,18.10,20.80
33,2018-06-24 14:33:16,17.54,23.38
34,2018-06-24 14:38:16,17.20,23.12
35,2018-06-24 14:43:16,16.94,24.36
36,2018-06-24 14:48:16,16.73,27.75
37,2018-06-24 14:53:16,16.60,27.32
38,2018-06-24 14:58:16,16.34,25.09
39,2018-06-24 15:03:16,16.26,24.79
40,2018-06-24 15:08:16,16.08,24.88
41,2018-06-24 15:13:16,15.96,23.94
42,2018-06-24 15:18:16,15.83,23.29
43,2018-06-24 15:23:16,15.66,24.02
44,2018-06-24 15:28:16,15.53,22.99
45,2018-06-24 15:33:16,15.44,22.91
46,2018-06-24 15:38:16,15.31,22.31
47,2018-06-24 15:43:16,15.18,20.80
48,2018-06-24 15:48:16,15.14,22.39
49,2018-06-24 15:53:16,15.01,22.52
50,2018-06-24 15:58:16,14.93,22.31
51,2018-06-24 16:03:16,14.88,22.09
52,2018-06-24 16:08:16,14.71,23.29
53,2018-06-24 16:13:16,14.67,21.92
54,2018-06-24 16:18:16,14.58,21.88
55,2018-06-24 16:23:16,14.50,21.36
56,2018-06-24 16:28:16,14.50,21.19
57,2018-06-24 16:33:16,14.37,20.93
58,2018-06-24 16:38:16,14.33,20.85
59,2018-06-24 16:43:16,14.20,20.25
60,2018-06-24 16:48:16,14.15,20.25
61,2018-06-24 16:53:16,14.07,20.33
62,2018-06-24 16:58:16,14.03,20.12
63,2018-06-24 17:03:16,13.98,19.86
64,2018-06-24 17:08:16,13.90,19.39
65,2018-06-24 17:13:16,13.85,19.39
66,2018-06-24 17:18:16,13.81,19.30
67,2018-06-24 17:23:16,13.77,19.52
68,2018-06-24 17:28:16,13.68,19.86
69,2018-06-24 17:33:16,13.64,19.39
70,2018-06-24 17:38:16,13.55,19.52
71,2018-06-24 17:43:16,13.55,19.43
72,2018-06-24 17:48:16,13.47,19.56
73,2018-06-24 17:53:16,13.43,19.43
74,2018-06-24 17:58:16,13.38,19.26
75,2018-06-24 18:03:16,13.34,19.13
76,2018-06-24 18:08:16,13.30,19.09
77,2018-06-24 18:13:16,13.21,19.56
78,2018-06-24 18:18:16,13.17,18.49
79,2018-06-24 18:23:16,13.12,17.72
80,2018-06-24 18:28:16,13.12,17.33
81,2018-06-24 18:33:16,13.08,17.33
82,2018-06-24 18:38:16,13.00,17.20
83,2018-06-24 18:43:16,13.00,17.33
84,2018-06-24 18:48:16,12.95,17.37
85,2018-06-24 18:53:16,12.91,17.41
86,2018-06-24 18:58:16,12.87,17.24
87,2018-06-24 19:03:16,12.82,17.24
88,2018-06-24 19:08:16,12.78,17.33
89,2018-06-24 19:13:16,12.78,17.29
90,2018-06-24 19:18:16,12.74,17.07
91,2018-06-24 19:23:16,12.70,16.90
92,2018-06-24 19:28:16,12.65,16.60
93,2018-06-24 19:33:16,12.61,16.39
94,2018-06-24 19:38:16,12.57,16.26
95,2018-06-24 19:43:16,12.52,16.30
96,2018-06-24 19:48:16,12.48,16.21
97,2018-06-24 19:53:16,12.48,16.21
98,2018-06-24 19:58:16,12.44,16.17
99,2018-06-24 20:03:16,12.40,16.08
100,2018-06-24 20:08:16,12.40,15.91
101,2018-06-24 20:13:16,12.35,15.83
102,2018-06-24 20:18:16,12.31,15.70
103,2018-06-24 20:23:16,12.31,15.66
