Plot Title: 20366935,,between foam mylar,foam mylar air,mylar snow foam
#,"Date Time, GMT -0400","Temp, °C - 1","Temp, °C - 2","Temp, °C - 2"
1,2018-06-10 15:54:07,35.30,32.17,3.73
2,2018-06-10 15:55:07,35.05,31.49,3.60
3,2018-06-10 15:56:07,34.79,28.91,3.39
4,2018-06-10 15:57:07,34.45,27.32,3.26
5,2018-06-10 15:58:07,34.10,29.68,3.17
6,2018-06-10 15:59:07,33.85,26.94,3.09
7,2018-06-10 16:00:07,33.46,27.54,2.96
8,2018-06-10 16:01:07,33.12,27.67,2.91
9,2018-06-10 16:02:07,32.86,24.41,2.83
10,2018-06-10 16:03:07,32.47,23.08,2.74
11,2018-06-10 16:04:07,32.22,23.08,2.83
12,2018-06-10 16:05:07,31.92,23.29,2.79
13,2018-06-10 16:06:07,31.53,22.73,2.66
14,2018-06-10 16:07:07,31.23,22.61,2.61
15,2018-06-10 16:08:07,30.84,24.32,2.57
16,2018-06-10 16:09:07,30.46,26.17,2.49
17,2018-06-10 16:10:07,30.16,27.67,2.44
18,2018-06-10 16:11:07,29.77,28.23,2.40
19,2018-06-10 16:12:07,29.38,30.11,2.36
20,2018-06-10 16:13:07,29.00,31.06,2.31
21,2018-06-10 16:14:07,28.61,32.60,2.31
22,2018-06-10 16:15:07,28.23,30.71,2.31
23,2018-06-10 16:16:07,27.88,30.20,2.27
24,2018-06-10 16:17:07,27.54,28.31,2.31
25,2018-06-10 16:18:07,27.24,26.04,2.31
26,2018-06-10 16:19:07,26.94,25.69,2.31
27,2018-06-10 16:20:07,26.64,25.95,2.31
28,2018-06-10 16:21:07,26.34,26.30,2.36
29,2018-06-10 16:22:07,26.12,26.38,2.36
30,2018-06-10 16:23:07,25.87,25.09,2.31
31,2018-06-10 16:24:07,25.52,24.75,2.19
32,2018-06-10 16:25:07,25.31,24.11,2.23
33,2018-06-10 16:26:07,25.01,23.64,2.19
34,2018-06-10 16:27:07,24.75,23.85,2.19
35,2018-06-10 16:28:07,24.54,23.72,2.19
36,2018-06-10 16:29:07,24.28,23.51,2.10
37,2018-06-10 16:30:07,24.02,23.34,2.06
38,2018-06-10 16:31:07,23.81,22.78,2.06
39,2018-06-10 16:32:07,23.55,21.92,1.97
40,2018-06-10 16:33:07,23.29,22.48,2.06
41,2018-06-10 16:34:07,23.08,23.29,1.97
42,2018-06-10 16:35:07,22.82,24.41,1.97
43,2018-06-10 16:36:07,22.52,26.60,1.93
44,2018-06-10 16:37:07,22.35,28.70,1.84
45,2018-06-10 16:38:07,22.09,29.64,1.88
46,2018-06-10 16:39:07,21.83,31.23,1.84
47,2018-06-10 16:40:07,21.62,33.46,1.84
48,2018-06-10 16:41:07,21.40,32.30,1.84
49,2018-06-10 16:42:07,21.19,30.54,1.80
50,2018-06-10 16:43:07,20.98,29.47,1.80
51,2018-06-10 16:44:07,20.80,29.38,1.80
52,2018-06-10 16:45:07,20.68,30.07,1.84
53,2018-06-10 16:46:07,20.50,31.87,1.80
54,2018-06-10 16:47:07,20.33,33.37,1.76
55,2018-06-10 16:48:07,20.25,32.43,1.71
56,2018-06-10 16:49:07,20.12,31.19,1.71
57,2018-06-10 16:50:07,20.03,32.30,1.67
58,2018-06-10 16:51:07,19.99,32.94,1.67
59,2018-06-10 16:52:07,19.86,32.86,1.67
60,2018-06-10 16:53:07,19.82,33.97,1.67
61,2018-06-10 16:54:07,19.73,32.82,1.67
62,2018-06-10 16:55:07,19.69,31.57,1.67
63,2018-06-10 16:56:07,19.60,32.43,1.71
64,2018-06-10 16:57:07,19.60,31.53,1.67
65,2018-06-10 16:58:07,19.52,31.96,1.67
66,2018-06-10 16:59:07,19.47,31.23,1.67
67,2018-06-10 17:00:07,19.56,29.56,1.67
68,2018-06-10 17:01:07,19.52,30.89,1.67
69,2018-06-10 17:02:07,19.43,32.43,1.63
70,2018-06-10 17:03:07,19.43,32.09,1.67
71,2018-06-10 17:04:07,19.39,31.14,1.67
72,2018-06-10 17:05:07,19.39,29.21,1.71
73,2018-06-10 17:06:07,19.43,28.61,1.84
74,2018-06-10 17:07:07,19.35,27.97,1.84
75,2018-06-10 17:08:07,19.35,27.15,1.88
76,2018-06-10 17:09:07,19.35,27.63,1.84
77,2018-06-10 17:10:07,19.30,28.27,1.93
78,2018-06-10 17:11:07,19.30,28.65,1.93
79,2018-06-10 17:12:07,19.22,27.93,1.93
80,2018-06-10 17:13:07,19.13,26.47,1.84
81,2018-06-10 17:14:07,19.09,24.92,1.84
82,2018-06-10 17:15:07,19.05,23.68,1.84
83,2018-06-10 17:16:07,19.00,22.69,1.84
84,2018-06-10 17:17:07,18.96,22.01,1.88
85,2018-06-10 17:18:07,18.87,21.88,1.88
86,2018-06-10 17:19:07,18.74,21.49,1.84
87,2018-06-10 17:20:07,18.70,21.02,1.80
88,2018-06-10 17:21:07,18.57,21.45,1.71
89,2018-06-10 17:22:07,18.53,21.66,1.71
90,2018-06-10 17:23:07,18.44,22.01,1.71
91,2018-06-10 17:24:07,18.32,22.86,1.76
92,2018-06-10 17:25:07,18.19,23.34,1.76
93,2018-06-10 17:26:07,18.06,23.59,1.76
94,2018-06-10 17:27:07,17.93,24.06,1.80
95,2018-06-10 17:28:07,17.76,24.24,1.76
96,2018-06-10 17:29:07,17.63,23.81,1.71
97,2018-06-10 17:30:07,17.54,23.94,1.80
98,2018-06-10 17:31:07,17.41,24.41,1.76
99,2018-06-10 17:32:07,17.33,23.46,1.71
100,2018-06-10 17:33:07,17.20,23.08,1.71
101,2018-06-10 17:34:07,17.11,22.78,1.80
102,2018-06-10 17:35:07,16.94,22.69,1.76
103,2018-06-10 17:36:07,16.86,22.43,1.80
104,2018-06-10 17:37:07,16.77,21.88,1.80
105,2018-06-10 17:38:07,16.69,21.62,1.84
106,2018-06-10 17:39:07,16.56,21.06,1.76
107,2018-06-10 17:40:07,16.47,20.89,1.76
108,2018-06-10 17:41:07,16.39,20.55,1.71
109,2018-06-10 17:42:07,16.30,21.06,1.67
110,2018-06-10 17:43:07,16.26,21.62,1.76
111,2018-06-10 17:44:07,16.13,21.96,1.63
112,2018-06-10 17:45:07,16.04,23.03,1.58
113,2018-06-10 17:46:07,15.91,22.99,1.58
114,2018-06-10 17:47:07,15.87,23.34,1.63
115,2018-06-10 17:48:07,15.74,23.64,1.63
116,2018-06-10 17:49:07,15.61,23.21,1.63
117,2018-06-10 17:50:07,15.57,24.66,1.63
118,2018-06-10 17:51:07,15.53,24.49,1.63
119,2018-06-10 17:52:07,15.40,23.72,1.58
120,2018-06-10 17:53:07,15.31,22.69,1.63
121,2018-06-10 17:54:07,15.23,22.35,1.58
122,2018-06-10 17:55:07,15.18,23.42,1.58
123,2018-06-10 17:56:07,15.06,25.05,1.58
124,2018-06-10 17:57:07,15.01,25.44,1.54
125,2018-06-10 17:58:07,15.01,27.24,1.54
126,2018-06-10 17:59:07,14.88,27.97,1.50
127,2018-06-10 18:00:07,14.84,27.20,1.46
128,2018-06-10 18:01:07,14.80,27.32,1.46
129,2018-06-10 18:02:07,14.75,27.07,1.50
130,2018-06-10 18:03:07,14.71,26.60,1.54
131,2018-06-10 18:04:07,14.63,26.81,1.58
132,2018-06-10 18:05:07,14.58,27.20,1.63
133,2018-06-10 18:06:07,14.58,26.72,1.67
134,2018-06-10 18:07:07,14.54,26.04,1.67
135,2018-06-10 18:08:07,14.54,25.61,1.67
136,2018-06-10 18:09:07,14.54,25.31,1.63
137,2018-06-10 18:10:07,14.50,24.62,1.54
138,2018-06-10 18:11:07,14.54,24.41,1.54
139,2018-06-10 18:12:07,14.50,25.09,1.63
140,2018-06-10 18:13:07,14.41,24.32,1.58
141,2018-06-10 18:14:07,14.50,25.05,1.58
142,2018-06-10 18:15:07,14.45,25.14,1.54
143,2018-06-10 18:16:07,14.45,24.54,1.50
144,2018-06-10 18:17:07,14.37,25.18,1.46
145,2018-06-10 18:18:07,14.41,25.95,1.50
146,2018-06-10 18:19:07,14.37,25.82,1.46
147,2018-06-10 18:20:07,14.33,25.78,1.50
148,2018-06-10 18:21:07,14.33,25.99,1.54
149,2018-06-10 18:22:07,14.24,26.68,1.54
150,2018-06-10 18:23:07,14.24,25.78,1.58
151,2018-06-10 18:24:07,14.20,25.74,1.58
152,2018-06-10 18:25:07,14.20,25.22,1.54
153,2018-06-10 18:26:07,14.20,25.69,1.63
154,2018-06-10 18:27:07,14.15,25.65,1.63
155,2018-06-10 18:28:07,14.11,25.05,1.67
156,2018-06-10 18:29:07,14.11,24.88,1.63
157,2018-06-10 18:30:07,14.11,24.92,1.67
158,2018-06-10 18:31:07,14.11,24.62,1.67
159,2018-06-10 18:32:07,14.07,23.46,1.63
160,2018-06-10 18:33:07,14.03,22.99,1.58
161,2018-06-10 18:34:07,14.03,23.42,1.58
162,2018-06-10 18:35:07,13.98,22.78,1.50
163,2018-06-10 18:36:07,13.98,23.38,1.50
164,2018-06-10 18:37:07,13.94,23.59,1.50
165,2018-06-10 18:38:07,13.94,23.94,1.50
166,2018-06-10 18:39:07,13.94,24.11,1.46
167,2018-06-10 18:40:07,13.90,23.42,1.41
168,2018-06-10 18:41:07,13.85,23.59,1.50
169,2018-06-10 18:42:07,13.85,23.59,1.54
170,2018-06-10 18:43:07,13.81,23.76,1.54
171,2018-06-10 18:44:07,13.81,23.55,1.50
172,2018-06-10 18:45:07,13.73,23.25,1.50
173,2018-06-10 18:46:07,13.73,23.16,1.54
174,2018-06-10 18:47:07,13.68,22.91,1.54
175,2018-06-10 18:48:07,13.68,22.65,1.54
176,2018-06-10 18:49:07,13.68,22.39,1.46
177,2018-06-10 18:50:07,13.64,22.35,1.41
178,2018-06-10 18:51:07,13.60,22.13,1.41
179,2018-06-10 18:52:07,13.55,21.75,1.41
180,2018-06-10 18:53:07,13.55,21.62,1.41
181,2018-06-10 18:54:07,13.51,21.83,1.46
182,2018-06-10 18:55:07,13.47,21.58,1.54
183,2018-06-10 18:56:07,13.47,21.96,1.50
184,2018-06-10 18:57:07,13.43,22.13,1.50
185,2018-06-10 18:58:07,13.38,21.79,1.41
186,2018-06-10 18:59:07,13.34,21.66,1.41
187,2018-06-10 19:00:07,13.34,21.70,1.46
188,2018-06-10 19:01:07,13.25,21.40,1.46
189,2018-06-10 19:02:07,13.25,21.45,1.46
190,2018-06-10 19:03:07,13.21,21.36,1.46
191,2018-06-10 19:04:07,13.12,21.02,1.41
192,2018-06-10 19:05:07,13.17,20.98,1.41
193,2018-06-10 19:06:07,13.08,20.55,1.41
194,2018-06-10 19:07:07,13.04,20.63,1.37
195,2018-06-10 19:08:07,13.04,20.59,1.37
196,2018-06-10 19:09:07,12.95,20.63,1.37
197,2018-06-10 19:10:07,12.91,20.80,1.37
198,2018-06-10 19:11:07,12.87,20.98,1.37
199,2018-06-10 19:12:07,12.87,20.55,1.33
200,2018-06-10 19:13:07,12.82,20.29,1.37
201,2018-06-10 19:14:07,12.78,20.42,1.28
202,2018-06-10 19:15:07,12.70,20.42,1.28
203,2018-06-10 19:16:07,12.65,20.20,1.24
204,2018-06-10 19:17:07,12.65,20.12,1.28
205,2018-06-10 19:18:07,12.61,20.42,1.33
206,2018-06-10 19:19:07,12.52,20.07,1.33
207,2018-06-10 19:20:07,12.48,19.95,1.28
208,2018-06-10 19:21:07,12.48,19.82,1.24
209,2018-06-10 19:22:07,12.40,19.47,1.20
210,2018-06-10 19:23:07,12.31,19.30,1.16
211,2018-06-10 19:24:07,12.27,19.17,1.24
212,2018-06-10 19:25:07,12.27,18.92,1.20
213,2018-06-10 19:26:07,12.18,18.83,1.28
214,2018-06-10 19:27:07,12.14,18.66,1.20
215,2018-06-10 19:28:07,12.05,18.87,1.24
216,2018-06-10 19:29:07,12.01,18.79,1.24
217,2018-06-10 19:30:07,11.97,18.36,1.24
218,2018-06-10 19:31:07,11.88,17.76,1.20
219,2018-06-10 19:32:07,11.88,17.11,1.20
220,2018-06-10 19:33:07,11.84,16.39,1.16
221,2018-06-10 19:34:07,11.84,15.70,1.16
222,2018-06-10 19:35:07,11.75,15.14,1.11
223,2018-06-10 19:36:07,11.67,14.84,1.07
224,2018-06-10 19:37:07,11.62,14.63,1.07
225,2018-06-10 19:38:07,11.58,14.41,1.11
226,2018-06-10 19:39:07,11.49,14.33,1.16
227,2018-06-10 19:40:07,11.45,14.24,1.11
228,2018-06-10 19:41:07,11.37,14.20,1.16
229,2018-06-10 19:42:07,11.32,14.15,1.24
230,2018-06-10 19:43:07,11.24,14.07,1.24
231,2018-06-10 19:44:07,11.15,14.03,1.24
232,2018-06-10 19:45:07,11.11,13.85,1.16
233,2018-06-10 19:46:07,11.02,13.81,1.20
234,2018-06-10 19:47:07,10.89,13.81,1.16
235,2018-06-10 19:48:07,10.85,13.73,1.16
236,2018-06-10 19:49:07,10.77,13.60,1.07
237,2018-06-10 19:50:07,10.68,13.47,1.07
238,2018-06-10 19:51:07,10.64,13.47,1.03
239,2018-06-10 19:52:07,10.51,13.47,1.03
240,2018-06-10 19:53:07,10.51,13.25,1.03
241,2018-06-10 19:54:07,10.42,13.12,1.07
242,2018-06-10 19:55:07,10.34,13.00,0.98
243,2018-06-10 19:56:07,10.25,12.91,0.98
244,2018-06-10 19:57:07,10.16,13.00,0.94
245,2018-06-10 19:58:07,10.12,12.95,0.98
246,2018-06-10 19:59:07,10.04,12.91,0.90
