Date,Site 1 (m3),Site 2 (m3),,,,,,,
3/30/18,225.13,209.13,,,,,,,
4/21/18,249.07,251.17,,,,,,,
5/12/18,216.5,226.13,,,,,,,
5/28/18,195.5,208.1,,,,,,,
6/10/18,177,187.7,,,,,,,
6/20/18,157.23,170.13,,,,,,,
6/30/18,139.1,150.9,,,,,,,
7/3/18,83.03,142.47,,,,,,,
7/10/18,70.07,130.33,,,,,,,
7/21/18,61.67,116.1,,,,,,,
7/31/18,50.27,100.83,,,,,,,
8/9/18,42.83,91.2,,,,,,,
8/23/18,33.73,75.83,,,,,,,
9/9/18,28.77,60.87,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
