Serial Number:20268771 --

"Date Time, GMT -0500","Temp, (*C) - 1","Temp, (*C) - 2","Button Down","Host Connect","EOF"
2017-12-09 09:23:43,26.68,33.42, , , 
2017-12-09 09:43:43,14.28,15.36, , , 
2017-12-09 10:03:43,9.31,9.18, , , 
2017-12-09 10:23:43,6.56,7.29, , , 
2017-12-09 10:43:43,5.06,5.83, , , 
2017-12-09 11:03:43,4.12,3.86, , , 
2017-12-09 11:23:43,10.29,10.72, , , 
2017-12-09 11:43:43,5.15,5.45, , , 
2017-12-09 11:53:48, , ,Logged, , 
2017-12-09 12:03:43,-0.05,-0.09, , , 
2017-12-09 12:23:43,-0.05,-0.09, , , 
2017-12-09 12:43:43,-0.05,-0.13, , , 
2017-12-09 13:03:43,-0.05,-0.09, , , 
2017-12-09 13:23:43,-0.05,-0.09, , , 
2017-12-09 13:43:43,-0.05,-0.09, , , 
2017-12-09 14:03:43,-0.09,-0.09, , , 
2017-12-09 14:23:43,-0.05,-0.09, , , 
2017-12-09 14:43:43,-0.05,-0.09, , , 
2017-12-09 15:03:43,-0.05,-0.05, , , 
2017-12-09 15:23:43,0.08,-0.09, , , 
2017-12-09 15:43:43,0.17,-0.05, , , 
2017-12-09 16:03:43,0.13,-0.09, , , 
2017-12-09 16:23:43,0.17,-0.09, , , 
2017-12-09 16:43:43,0.17,-0.09, , , 
2017-12-09 17:03:43,0.25,-0.13, , , 
2017-12-09 17:23:43,0.25,-0.09, , , 
2017-12-09 17:43:43,0.30,-0.09, , , 
2017-12-09 18:03:43,0.30,-0.09, , , 
2017-12-09 18:23:43,0.30,-0.05, , , 
2017-12-09 18:43:43,0.30,-0.05, , , 
2017-12-09 19:03:43,0.30,-0.05, , , 
2017-12-09 19:23:43,0.38,-0.09, , , 
2017-12-09 19:43:43,0.38,-0.05, , , 
2017-12-09 20:03:43,0.43,-0.09, , , 
2017-12-09 20:23:43,0.43,-0.13, , , 
2017-12-09 20:43:43,0.43,-0.09, , , 
2017-12-09 21:03:43,0.43,-0.09, , , 
2017-12-09 21:23:43,0.47,-0.09, , , 
2017-12-09 21:43:43,0.43,-0.05, , , 
2017-12-09 22:03:43,0.47,-0.09, , , 
2017-12-09 22:23:43,0.47,-0.05, , , 
2017-12-09 22:43:43,0.47,-0.09, , , 
2017-12-09 23:03:43,0.51,-0.09, , , 
2017-12-09 23:23:43,0.47,-0.05, , , 
2017-12-09 23:43:43,0.51,-0.05, , , 
2017-12-10 00:03:43,0.55,-0.05, , , 
2017-12-10 00:23:43,0.55,-0.13, , , 
2017-12-10 00:43:43,0.51,-0.09, , , 
2017-12-10 01:03:43,0.51,-0.09, , , 
2017-12-10 01:23:43,0.51,-0.09, , , 
2017-12-10 01:43:43,0.60,-0.09, , , 
2017-12-10 02:03:43,0.51,-0.09, , , 
2017-12-10 02:23:43,0.55,-0.05, , , 
2017-12-10 02:43:43,0.51,-0.05, , , 
2017-12-10 03:03:43,0.55,-0.09, , , 
2017-12-10 03:23:43,0.64,-0.09, , , 
2017-12-10 03:43:43,0.55,-0.09, , , 
2017-12-10 04:03:43,0.55,-0.05, , , 
2017-12-10 04:23:43,0.60,-0.09, , , 
2017-12-10 04:43:43,0.55,-0.13, , , 
2017-12-10 05:03:43,0.60,-0.09, , , 
2017-12-10 05:23:43,0.60,-0.09, , , 
2017-12-10 05:43:43,0.60,-0.09, , , 
2017-12-10 06:03:43,0.51,-0.05, , , 
2017-12-10 06:23:43,0.60,-0.09, , , 
2017-12-10 06:43:43,0.55,-0.09, , , 
2017-12-10 07:03:43,0.55,-0.05, , , 
2017-12-10 07:23:43,0.55,-0.09, , , 
2017-12-10 07:43:43,0.60,-0.05, , , 
2017-12-10 08:03:43,0.60,-0.09, , , 
2017-12-10 08:23:43,0.60,-0.09, , , 
2017-12-10 08:43:43,0.64,-0.00, , , 
2017-12-10 09:03:43,0.60,-0.05, , , 
2017-12-10 09:23:43,0.64,-0.09, , , 
2017-12-10 09:43:43,0.55,-0.05, , , 
2017-12-10 10:03:43,0.60,-0.05, , , 
2017-12-10 10:23:43,0.60,-0.05, , , 
2017-12-10 10:43:43,0.60,-0.00, , , 
2017-12-10 11:03:43,0.60,-0.05, , , 
2017-12-10 11:23:43,0.60,-0.09, , , 
2017-12-10 11:43:43,0.55,-0.05, , , 
2017-12-10 12:03:43,0.60,-0.00, , , 
2017-12-10 12:23:43,0.60,-0.00, , , 
2017-12-10 12:43:43,0.60,-0.00, , , 
2017-12-10 13:03:43,0.55,-0.00, , , 
2017-12-10 13:23:43,0.60,-0.00, , , 
2017-12-10 13:43:43,0.60,-0.00, , , 
2017-12-10 14:03:43,0.55,-0.05, , , 
2017-12-10 14:23:43,0.60,-0.00, , , 
2017-12-10 14:43:43,0.55,-0.00, , , 
2017-12-10 15:03:43,0.60,-0.00, , , 
2017-12-10 15:23:43,0.55,-0.05, , , 
2017-12-10 15:43:43,0.60,-0.00, , , 
2017-12-10 16:03:43,0.60,-0.00, , , 
2017-12-10 16:23:43,0.55,-0.00, , , 
2017-12-10 16:43:43,0.60,0.04, , , 
2017-12-10 17:03:43,0.60,-0.00, , , 
2017-12-10 17:23:43,0.60,0.04, , , 
2017-12-10 17:43:43,0.60,-0.00, , , 
2017-12-10 18:03:43,0.60,0.04, , , 
2017-12-10 18:23:43,0.60,-0.00, , , 
2017-12-10 18:43:43,0.60,-0.00, , , 
2017-12-10 19:03:43,0.60,-0.00, , , 
2017-12-10 19:23:43,0.60,-0.00, , , 
2017-12-10 19:43:43,0.60,-0.00, , , 
2017-12-10 20:03:43,0.55,-0.00, , , 
2017-12-10 20:23:43,0.60,-0.00, , , 
2017-12-10 20:43:43,0.60,0.04, , , 
2017-12-10 21:03:43,0.60,0.04, , , 
2017-12-10 21:23:43,0.64,-0.00, , , 
2017-12-10 21:43:43,0.55,-0.00, , , 
2017-12-10 22:03:43,0.60,-0.00, , , 
2017-12-10 22:23:43,0.60,-0.00, , , 
2017-12-10 22:43:43,0.60,-0.00, , , 
2017-12-10 23:03:43,0.60,-0.00, , , 
2017-12-10 23:23:43,0.64,-0.00, , , 
2017-12-10 23:43:43,0.60,-0.00, , , 
2017-12-11 00:03:43,0.60,-0.00, , , 
2017-12-11 00:23:43,0.60,0.04, , , 
2017-12-11 00:43:43,0.60,-0.00, , , 
2017-12-11 01:03:43,0.64,0.04, , , 
2017-12-11 01:23:43,0.60,-0.00, , , 
2017-12-11 01:43:43,0.60,0.04, , , 
2017-12-11 02:03:43,0.55,0.04, , , 
2017-12-11 02:23:43,0.60,-0.05, , , 
2017-12-11 02:43:43,0.60,0.04, , , 
2017-12-11 03:03:43,0.60,0.04, , , 
2017-12-11 03:23:43,0.55,0.04, , , 
2017-12-11 03:43:43,0.60,-0.00, , , 
2017-12-11 04:03:43,0.64,0.04, , , 
2017-12-11 04:23:43,0.60,0.04, , , 
2017-12-11 04:43:43,0.60,0.04, , , 
2017-12-11 05:03:43,0.60,0.04, , , 
2017-12-11 05:23:43,0.55,0.04, , , 
2017-12-11 05:43:43,0.64,0.04, , , 
2017-12-11 06:03:43,0.60,-0.05, , , 
2017-12-11 06:23:43,0.60,0.04, , , 
2017-12-11 06:43:43,0.55,0.04, , , 
2017-12-11 07:03:43,0.60,-0.00, , , 
2017-12-11 07:23:43,0.60,0.04, , , 
2017-12-11 07:43:43,0.60,-0.00, , , 
2017-12-11 08:03:43,0.60,-0.05, , , 
2017-12-11 08:23:43,0.60,0.08, , , 
2017-12-11 08:43:43,0.60,0.04, , , 
2017-12-11 09:03:43,0.60,0.04, , , 
2017-12-11 09:23:43,0.60,0.04, , , 
2017-12-11 09:43:43,0.60,-0.00, , , 
2017-12-11 10:03:43,0.64,-0.00, , , 
2017-12-11 10:23:43,0.60,0.04, , , 
2017-12-11 10:43:43,0.60,-0.00, , , 
2017-12-11 11:03:43,0.60,0.04, , , 
2017-12-11 11:23:43,0.60,-0.00, , , 
2017-12-11 11:43:43,0.60,0.04, , , 
2017-12-11 12:03:43,0.60,0.04, , , 
2017-12-11 12:23:43,0.60,-0.00, , , 
2017-12-11 12:43:43,0.60,-0.00, , , 
2017-12-11 13:03:43,0.55,0.04, , , 
2017-12-11 13:23:43,0.60,0.04, , , 
2017-12-11 13:43:43,0.60,0.04, , , 
2017-12-11 14:03:43,0.55,0.04, , , 
2017-12-11 14:23:43,0.60,-0.00, , , 
2017-12-11 14:43:43,0.60,0.04, , , 
2017-12-11 15:03:43,0.55,0.04, , , 
2017-12-11 15:23:43,0.60,0.04, , , 
2017-12-11 15:43:43,0.60,0.04, , , 
2017-12-11 16:03:43,0.64,0.08, , , 
2017-12-11 16:23:43,0.60,-0.00, , , 
2017-12-11 16:43:43,0.60,-0.00, , , 
2017-12-11 17:03:43,0.60,-0.00, , , 
2017-12-11 17:23:43,0.60,-0.00, , , 
2017-12-11 17:43:43,0.55,0.04, , , 
2017-12-11 18:03:43,0.64,0.04, , , 
2017-12-11 18:23:43,0.60,0.04, , , 
2017-12-11 18:43:43,0.60,0.04, , , 
2017-12-11 19:03:43,0.64,0.04, , , 
2017-12-11 19:23:43,0.60,-0.00, , , 
2017-12-11 19:43:43,0.55,-0.05, , , 
2017-12-11 20:03:43,0.60,0.04, , , 
2017-12-11 20:23:43,0.60,-0.00, , , 
2017-12-11 20:43:43,0.60,-0.00, , , 
2017-12-11 21:03:43,0.60,-0.00, , , 
2017-12-11 21:23:43,0.60,-0.00, , , 
2017-12-11 21:43:43,0.55,-0.00, , , 
2017-12-11 22:03:43,0.60,-0.00, , , 
2017-12-11 22:23:43,0.60,-0.00, , , 
2017-12-11 22:43:43,0.55,-0.05, , , 
2017-12-11 23:03:43,0.60,-0.00, , , 
2017-12-11 23:23:43,0.60,-0.00, , , 
2017-12-11 23:43:43,0.60,-0.00, , , 
2017-12-12 00:03:43,0.60,-0.00, , , 
2017-12-12 00:23:43,0.55,-0.00, , , 
2017-12-12 00:43:43,0.55,-0.05, , , 
2017-12-12 01:03:43,0.60,-0.05, , , 
2017-12-12 01:23:43,0.55,-0.00, , , 
2017-12-12 01:43:43,0.55,-0.05, , , 
2017-12-12 02:03:43,0.55,-0.00, , , 
2017-12-12 02:23:43,0.60,-0.05, , , 
